City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Odienne,CI,2022-11-28 01:57:04,9.51,-7.5692,71.31,33,100,2.95
275,Temiscaming,CA,2022-11-28 01:57:04,46.7212,-79.0971,33.35,93,100,9.22
276,Goure,NE,2022-11-28 01:57:05,13.9835,10.2704,63.55,27,7,8.59
277,Thiruvananthapuram,IN,2022-11-28 01:57:05,8.4833,76.9167,78.78,83,20,0.0
278,San Quintin,MX,2022-11-28 01:57:05,30.4833,-115.95,60.33,76,13,7.23
279,Poum,NC,2022-11-28 01:57:06,-20.2333,164.0167,79.48,80,74,18.05
280,Columbus,US,2022-11-28 01:53:53,39.9612,-82.9988,50.34,93,100,23.02
281,Cayenne,GF,2022-11-28 01:55:00,4.9333,-52.3333,73.44,94,0,0.0
282,Kendari,ID,2022-11-28 01:57:07,-3.945,122.4989,87.53,62,100,3.49
283,Watsa,CD,2022-11-28 01:57:08,3.0372,29.5355,61.63,98,100,2.64
284,Kieta,PG,2022-11-28 01:57:08,-6.2167,155.6333,83.46,79,81,7.81
285,Morondava,MG,2022-11-28 01:57:08,-20.2833,44.2833,76.39,76,2,8.12
286,Margasari,ID,2022-11-28 01:57:09,-7.1,109.0167,81.82,76,100,5.86
287,Norman Wells,CA,2022-11-28 01:57:09,65.282,-126.8329,-5.76,77,75,11.5
288,Caravelas,BR,2022-11-28 01:57:09,-17.7125,-39.2481,73.2,98,100,3.65
289,Touros,BR,2022-11-28 01:57:10,-5.1989,-35.4608,78.19,78,100,11.5
290,Severo-Kurilsk,RU,2022-11-28 01:53:58,50.6789,156.125,32.16,88,88,38.39
291,Asau,RO,2022-11-28 01:57:10,46.4333,26.4,33.28,97,100,2.53
